ProcedureName,ParameterName,DataType,DefaultExpression
USP_Columnstore,ObjectNames,nvarchar(max),NULL
USP_Columnstore,ObjectNamePattern,nvarchar(4000),NULL
USP_Columnstore,FullObjectNames,nvarchar(max),NULL
USP_Columnstore,AnalyseModus,varchar(16),'GEZIELT'
USP_Columnstore,MitPhysicalStats,bit,0
USP_Columnstore,MitSegmenten,bit,0
USP_Columnstore,MitDictionaries,bit,0
USP_Columnstore,MinDeletedPercent,"decimal(9,2)",0
USP_Columnstore,NurProblematisch,bit,0
USP_Columnstore,MaxDatenbanken,int,16
USP_Columnstore,MaxZeilen,int,10000
USP_Columnstore,LockTimeoutMs,int,0
USP_Columnstore,ResultSetArt,varchar(16),'CONSOLE'
USP_Columnstore,JsonErzeugen,bit,0
USP_Columnstore,Json,nvarchar(max),NULL OUTPUT
USP_Columnstore,PrintMeldungen,bit,1
USP_Columnstore,Hilfe,bit,0
USP_IndexPhysicalStats,DatabaseNames,nvarchar(max),N''
USP_IndexPhysicalStats,SystemdatenbankenEinbeziehen,bit,0
USP_IndexPhysicalStats,DatabaseNamePattern,nvarchar(4000),NULL
USP_IndexPhysicalStats,SchemaNames,nvarchar(max),NULL
USP_IndexPhysicalStats,SchemaNamePattern,nvarchar(4000),NULL
USP_IndexPhysicalStats,ObjectNames,nvarchar(max),NULL
USP_IndexPhysicalStats,ObjectNamePattern,nvarchar(4000),NULL
USP_IndexPhysicalStats,FullObjectNames,nvarchar(max),NULL
USP_IndexPhysicalStats,IndexNames,nvarchar(max),NULL
USP_IndexPhysicalStats,IndexNamePattern,nvarchar(4000),NULL
USP_IndexPhysicalStats,AnalyseModus,varchar(16),'GEZIELT'
USP_IndexPhysicalStats,ScanMode,varchar(16),'LIMITED'
USP_IndexPhysicalStats,IndexId,int,NULL
USP_IndexPhysicalStats,PartitionNumber,int,NULL
USP_IndexPhysicalStats,MinPageCount,bigint,1000
USP_IndexPhysicalStats,MinFragmentationPercent,"decimal(9,2)",0
USP_IndexPhysicalStats,MaxDatenbanken,int,16
USP_IndexPhysicalStats,MaxZeilen,int,10000
USP_IndexPhysicalStats,LockTimeoutMs,int,0
USP_IndexPhysicalStats,ResultSetArt,varchar(16),'CONSOLE'
USP_IndexPhysicalStats,JsonErzeugen,bit,0
USP_IndexPhysicalStats,Json,nvarchar(max),NULL OUTPUT
USP_IndexPhysicalStats,PrintMeldungen,bit,1
USP_IndexPhysicalStats,Hilfe,bit,0
USP_ObjectAnalysis,DatabaseNames,nvarchar(max),N''
USP_ObjectAnalysis,SystemdatenbankenEinbeziehen,bit,0
USP_ObjectAnalysis,DatabaseNamePattern,nvarchar(4000),NULL
USP_ObjectAnalysis,SchemaNames,nvarchar(max),NULL
USP_ObjectAnalysis,SchemaNamePattern,nvarchar(4000),NULL
USP_ObjectAnalysis,ObjectNames,nvarchar(max),NULL
USP_ObjectAnalysis,ObjectNamePattern,nvarchar(4000),NULL
USP_ObjectAnalysis,FullObjectNames,nvarchar(max),NULL
USP_ObjectAnalysis,IndexNames,nvarchar(max),NULL
USP_ObjectAnalysis,IndexNamePattern,nvarchar(4000),NULL
USP_ObjectAnalysis,StatisticsNames,nvarchar(max),NULL
USP_ObjectAnalysis,StatisticsNamePattern,nvarchar(4000),NULL
USP_ObjectAnalysis,Vollanalyse,bit,0
USP_ObjectAnalysis,MitObjectInventory,bit,1
USP_ObjectAnalysis,MitIndexUsage,bit,1
USP_ObjectAnalysis,MitMissingIndexes,bit,1
USP_ObjectAnalysis,MitOperationalStats,bit,0
USP_ObjectAnalysis,MitStatistics,bit,0
USP_ObjectAnalysis,MitStatisticsDistribution,bit,0
USP_ObjectAnalysis,MitPartitions,bit,0
USP_ObjectAnalysis,MitColumnstore,bit,0
USP_ObjectAnalysis,MitPhysicalStats,bit,0
USP_ObjectAnalysis,MitSchemaDesign,bit,0
USP_ObjectAnalysis,MaxDatenbanken,int,16
USP_ObjectAnalysis,MaxZeilen,int,2000
USP_ObjectAnalysis,LockTimeoutMs,int,0
USP_ObjectAnalysis,ResultSetArt,varchar(16),'CONSOLE'
USP_ObjectAnalysis,JsonErzeugen,bit,0
USP_ObjectAnalysis,Json,nvarchar(max),NULL OUTPUT
USP_ObjectAnalysis,PrintMeldungen,bit,1
USP_ObjectAnalysis,Hilfe,bit,0
USP_SchemaDesignAnalysis,DatabaseNames,nvarchar(max),N''
USP_SchemaDesignAnalysis,SystemdatenbankenEinbeziehen,bit,0
USP_SchemaDesignAnalysis,DatabaseNamePattern,nvarchar(4000),NULL
USP_SchemaDesignAnalysis,MaxDatenbanken,int,16
USP_SchemaDesignAnalysis,IdentityWarnPercent,"decimal(5,2)",80.00
USP_SchemaDesignAnalysis,MaxZeilen,int,1000
USP_SchemaDesignAnalysis,ResultSetArt,varchar(16),'CONSOLE'
USP_SchemaDesignAnalysis,JsonErzeugen,bit,0
USP_SchemaDesignAnalysis,Json,nvarchar(max),NULL OUTPUT
USP_SchemaDesignAnalysis,PrintMeldungen,bit,1
USP_SchemaDesignAnalysis,Hilfe,bit,0
USP_SchemaDesignAnalysis,StatusCodeOut,varchar(40),NULL OUTPUT
USP_SchemaDesignAnalysis,IsPartialOut,bit,NULL OUTPUT
USP_SchemaDesignAnalysis,ErrorNumberOut,int,NULL OUTPUT
USP_SchemaDesignAnalysis,ErrorMessageOut,nvarchar(2048),NULL OUTPUT
USP_QueryStats,DatabaseNames,nvarchar(max),N''
USP_QueryStats,SystemdatenbankenEinbeziehen,bit,0
USP_QueryStats,DatabaseNamePattern,nvarchar(4000),NULL
USP_QueryStats,MaxDatenbanken,int,16
USP_QueryStats,QueryHash,binary(8),NULL
USP_QueryStats,QueryPlanHash,binary(8),NULL
USP_QueryStats,SqlHandle,varbinary(64),NULL
USP_QueryStats,PlanHandle,varbinary(64),NULL
USP_QueryStats,TextPattern,nvarchar(4000),NULL
USP_QueryStats,Sortierung,varchar(32),'CPU_TOTAL'
USP_QueryStats,AnalyseModus,varchar(16),'TOP'
USP_QueryStats,MinExecutionCount,bigint,1
